2007-01-25,09:02:14,PL0GPWF05785,FW20H7,34690,3
2007-01-25,09:02:15,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:17,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:17,PL0GPWF05785,FW20H7,34670,1
2007-01-25,09:02:19,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:19,PL0GPWF05785,FW20H7,34690,5
2007-01-25,09:02:19,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:02:19,PL0GPWF05785,FW20H7,34700,20
2007-01-25,09:02:22,PL0GPWF05785,FW20H7,34700,19
2007-01-25,09:02:24,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:24,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:26,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:02:28,PL0GPWF05967,FW20M7,34640,1
2007-01-25,09:02:31,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:02:31,PLIJUWG00019,MW20,348.9,5
2007-01-25,09:02:34,PL0GPWF05769,FTPSH7,12925,2
2007-01-25,09:02:36,PL0GPWF05785,FW20H7,34680,1
2007-01-25,09:02:41,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:02:41,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,11
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:43,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:44,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:02:46,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:02:48,PL0GPWF05785,FW20H7,34700,1
